Crop,Cost_of_Production_per_Hectare (₹),Market_Rate_per_Quintal (₹),Yield_per_Hectare (Quintals),Profit_per_Hectare (₹)
Rice,55000,2000,50,45000
Maize,40000,1800,40,32000
Chickpea,32000,4500,12,22000
Kidney Beans,38000,5000,14,32000
Pigeonpeas,30000,4200,10,12000
Moth Beans,28000,4000,9,8000
Mungbean,29000,4300,10,14000
Blackgram,31000,4400,11,17400
Lentil,33000,4800,12,24600
Pomegranate,85000,6000,40,155000
Banana,95000,1500,140,115000
Mango,70000,5000,30,80000
Grapes,110000,2500,120,190000
Watermelon,45000,1200,80,51000
Muskmelon,48000,1400,75,57000
Apple,120000,6000,35,90000
Orange,80000,3000,60,100000
Papaya,65000,2500,80,135000
Coconut,75000,3500,50,100000
Cotton,60000,6000,20,60000
Jute,50000,3500,25,37500
Coffee,150000,10000,50,350000
